country,nuts3,potential,year,bark_kton,sawdust_kton
AT,AT127,UD02,2012,0.0,9.051388528514691
AT,AT127,UD02,2020,0.0,8.031457335671906
AT,AT127,UD02,2030,0.0,7.156644193704711
AT,AT127,UD03,2012,0.0,0.0
AT,AT127,UD03,2020,0.0,0.0
AT,AT127,UD03,2030,0.0,0.0
AT,AT127,UD04,2012,0.0,0.0
AT,AT127,UD04,2020,0.0,0.0
AT,AT127,UD04,2030,0.0,0.0
AT,AT127,UD05,2012,0.0,0.0
AT,AT127,UD05,2020,0.0,0.0
AT,AT127,UD05,2030,0.0,0.0
AT,AT127,UD06,2012,0.0,0.0
AT,AT127,UD06,2020,0.0,0.0
AT,AT127,UD06,2030,0.0,0.0
AT,AT127,UD07,2012,0.0,0.0
AT,AT127,UD07,2020,0.0,0.0
AT,AT127,UD07,2030,0.0,0.0
AT,AT127,UD08,2012,0.0,0.0
AT,AT127,UD08,2020,0.0,0.0
AT,AT127,UD08,2030,0.0,0.0
AT,AT130,BASE,2012,0.0,21.566810878718996
AT,AT130,BASE,2020,0.0,19.136613227159717
AT,AT130,BASE,2030,0.0,17.05218943653501
AT,AT130,HIGH,2012,0.0,0.0
AT,AT130,HIGH,2020,0.0,0.0
AT,AT130,HIGH,2030,0.0,0.0
AT,AT130,TECH,2012,0.0,21.566810878718996
AT,AT130,TECH,2020,0.0,19.136613227159717
AT,AT130,TECH,2030,0.0,17.05218943653501
AT,AT130,UD01,2012,0.0,21.566810878718996
AT,AT130,UD01,2020,0.0,19.136613227159717
AT,AT130,UD01,2030,0.0,17.05218943653501
AT,AT130,UD02,2012,0.0,21.566810878718996
AT,AT130,UD02,2020,0.0,19.136613227159717
AT,AT130,UD02,2030,0.0,17.05218943653501
AT,AT130,UD03,2012,0.0,0.0
AT,AT130,UD03,2020,0.0,0.0
AT,AT130,UD03,2030,0.0,0.0
AT,AT130,UD04,2012,0.0,0.0
AT,AT130,UD04,2020,0.0,0.0
AT,AT130,UD04,2030,0.0,0.0
AT,AT130,UD05,2012,0.0,0.0
AT,AT130,UD05,2020,0.0,0.0
AT,AT130,UD05,2030,0.0,0.0
AT,AT130,UD06,2012,0.0,0.0
AT,AT130,UD06,2020,0.0,0.0
AT,AT130,UD06,2030,0.0,0.0
AT,AT130,UD07,2012,0.0,0.0
AT,AT130,UD07,2020,0.0,0.0
AT,AT130,UD07,2030,0.0,0.0
AT,AT130,UD08,2012,0.0,0.0
AT,AT130,UD08,2020,0.0,0.0
AT,AT130,UD08,2030,0.0,0.0
AT,AT211,BASE,2012,0.0,18.979064473201728
AT,AT211,BASE,2020,0.0,16.840460014205096
AT,AT211,BASE,2030,0.0,15.006140896083588
AT,AT211,HIGH,2012,0.0,0.0
AT,AT211,HIGH,2020,0.0,0.0
AT,AT211,HIGH,2030,0.0,0.0
AT,AT211,TECH,2012,0.0,18.979064473201728
AT,AT211,TECH,2020,0.0,16.840460014205096
AT,AT211,TECH,2030,0.0,15.006140896083588
AT,AT211,UD01,2012,0.0,18.979064473201728
AT,AT211,UD01,2020,0.0,16.840460014205096
AT,AT211,UD01,2030,0.0,15.006140896083588
AT,AT211,UD02,2012,0.0,18.979064473201728
AT,AT211,UD02,2020,0.0,16.840460014205096
AT,AT211,UD02,2030,0.0,15.006140896083588
AT,AT211,UD03,2012,0.0,0.0
AT,AT211,UD03,2020,0.0,0.0
AT,AT211,UD03,2030,0.0,0.0
AT,AT211,UD04,2012,0.0,0.0
AT,AT211,UD04,2020,0.0,0.0
AT,AT211,UD04,2030,0.0,0.0
AT,AT211,UD05,2012,0.0,0.0
AT,AT211,UD05,2020,0.0,0.0
AT,AT211,UD05,2030,0.0,0.0
AT,AT211,UD06,2012,0.0,0.0
AT,AT211,UD06,2020,0.0,0.0
AT,AT211,UD06,2030,0.0,0.0
AT,AT211,UD07,2012,0.0,0.0
AT,AT211,UD07,2020,0.0,0.0
AT,AT211,UD07,2030,0.0,0.0
AT,AT211,UD08,2012,0.0,0.0
AT,AT211,UD08,2020,0.0,0.0
AT,AT211,UD08,2030,0.0,0.0
AT,AT212,BASE,2012,0.0,31.49661572924901
AT,AT212,BASE,2020,0.0,27.947504921548955
AT,AT212,BASE,2030,0.0,24.903369396857304
AT,AT212,HIGH,2012,0.0,0.0
AT,AT212,HIGH,2020,0.0,0.0
AT,AT212,HIGH,2030,0.0,0.0
AT,AT212,TECH,2012,0.0,31.49661572924901
AT,AT212,TECH,2020,0.0,27.947504921548955
AT,AT212,TECH,2030,0.0,24.903369396857304
AT,AT212,UD01,2012,0.0,31.49661572924901
AT,AT212,UD01,2020,0.0,27.947504921548955
AT,AT212,UD01,2030,0.0,24.903369396857304
AT,AT212,UD02,2012,0.0,31.49661572924901
AT,AT212,UD02,2020,0.0,27.947504921548955
AT,AT212,UD02,2030,0.0,24.903369396857304
AT,AT212,UD03,2012,0.0,0.0
AT,AT212,UD03,2020,0.0,0.0
AT,AT212,UD03,2030,0.0,0.0
AT,AT212,UD04,2012,0.0,0.0
AT,AT212,UD04,2020,0.0,0.0
AT,AT212,UD04,2030,0.0,0.0
AT,AT212,UD05,2012,0.0,0.0
AT,AT212,UD05,2020,0.0,0.0
AT,AT212,UD05,2030,0.0,0.0
AT,AT212,UD06,2012,0.0,0.0
AT,AT212,UD06,2020,0.0,0.0
AT,AT212,UD06,2030,0.0,0.0
AT,AT212,UD07,2012,0.0,0.0
AT,AT212,UD07,2020,0.0,0.0
AT,AT212,UD07,2030,0.0,0.0
AT,AT212,UD08,2012,0.0,0.0
AT,AT212,UD08,2020,0.0,0.0
AT,AT212,UD08,2030,0.0,0.0
AT,AT213,BASE,2012,9.66987173160716,32.22429701248994
AT,AT213,BASE,2020,8.30835379179687,28.59318941094023
AT,AT213,BASE,2030,8.30835379179687,25.478723776372405
AT,AT213,HIGH,2012,0.0,0.0
AT,AT213,HIGH,2020,0.0,0.0
AT,AT213,HIGH,2030,0.0,0.0
AT,AT213,TECH,2012,9.66987173160716,32.22429701248994
AT,AT213,TECH,2020,8.30835379179687,28.59318941094023
AT,AT213,TECH,2030,8.30835379179687,25.478723776372405
AT,AT213,UD01,2012,9.66987173160716,32.22429701248994
AT,AT213,UD01,2020,8.30835379179687,28.59318941094023
AT,AT213,UD01,2030,8.30835379179687,25.478723776372405
AT,AT213,UD02,2012,0.0,32.22429701248994
AT,AT213,UD02,2020,0.0,28.59318941094023
AT,AT213,UD02,2030,0.0,25.478723776372405
AT,AT213,UD03,2012,0.0,0.0
AT,AT213,UD03,2020,0.0,0.0
AT,AT213,UD03,2030,0.0,0.0
AT,AT213,UD04,2012,0.0,0.0
AT,AT213,UD04,2020,0.0,0.0
AT,AT213,UD04,2030,0.0,0.0
AT,AT213,UD05,2012,0.0,0.0
AT,AT213,UD05,2020,0.0,0.0
AT,AT213,UD05,2030,0.0,0.0
AT,AT213,UD06,2012,0.0,0.0
AT,AT213,UD06,2020,0.0,0.0
AT,AT213,UD06,2030,0.0,0.0
AT,AT213,UD07,2012,0.0,0.0
AT,AT213,UD07,2020,0.0,0.0
AT,AT213,UD07,2030,0.0,0.0
AT,AT213,UD08,2012,0.0,0.0
